Epoch,Split,Layer,Group,SubID,Loss
2,Train,AVG_ALL,infrastructure,2,0.62139
2,Train,AVG_ALL,infrastructure,3,0.11343
2,Train,AVG_ALL,infrastructure,4,0.2977
2,Train,AVG_ALL,infrastructure,5,0.59388
2,Train,AVG_ALL,infrastructure,6,0.17184
2,Train,AVG_ALL,infrastructure,7,0.80512
2,Train,AVG_ALL,infrastructure,MEAN,0.58913
2,Train,AVG_ALL,road,0,0.74281
2,Train,AVG_ALL,road,1,1.47227
2,Train,AVG_ALL,road,2,0.64922
2,Train,AVG_ALL,road,3,0.43971
2,Train,AVG_ALL,road,4,1.40638
2,Train,AVG_ALL,road,5,0.48681
2,Train,AVG_ALL,road,6,0.61475
2,Train,AVG_ALL,road,7,0.51497
2,Train,AVG_ALL,road,MEAN,0.79087
2,Train,ClassifyLayer_1,ALL,SUM,19.01685
2,Train,ClassifyLayer_1,building,0,0.65467
2,Train,ClassifyLayer_1,building,1,0.44689
2,Train,ClassifyLayer_1,building,2,0.57889
2,Train,ClassifyLayer_1,building,3,0.71566
2,Train,ClassifyLayer_1,building,4,0.09406
2,Train,ClassifyLayer_1,building,5,0.09323
2,Train,ClassifyLayer_1,building,6,0.5897
2,Train,ClassifyLayer_1,building,7,0.59507
2,Train,ClassifyLayer_1,building,MEAN,0.47102
2,Train,ClassifyLayer_1,greenery,0,0.57016
2,Train,ClassifyLayer_1,greenery,1,0.47167
2,Train,ClassifyLayer_1,greenery,2,0.83786
2,Train,ClassifyLayer_1,greenery,3,0.86244
2,Train,ClassifyLayer_1,greenery,4,0.88734
2,Train,ClassifyLayer_1,greenery,5,0.57843
2,Train,ClassifyLayer_1,greenery,6,0.00081
2,Train,ClassifyLayer_1,greenery,MEAN,0.60125
2,Train,ClassifyLayer_1,infrastructure,0,0.23334
2,Train,ClassifyLayer_1,infrastructure,1,1.8763
2,Train,ClassifyLayer_1,infrastructure,2,0.62139
2,Train,ClassifyLayer_1,infrastructure,3,0.11343
2,Train,ClassifyLayer_1,infrastructure,4,0.2977
2,Train,ClassifyLayer_1,infrastructure,5,0.59388
2,Train,ClassifyLayer_1,infrastructure,6,0.17184
2,Train,ClassifyLayer_1,infrastructure,7,0.80512
2,Train,ClassifyLayer_1,infrastructure,MEAN,0.58913
2,Train,ClassifyLayer_1,road,0,0.74281
2,Train,ClassifyLayer_1,road,1,1.47227
2,Train,ClassifyLayer_1,road,2,0.64922
2,Train,ClassifyLayer_1,road,3,0.43971
2,Train,ClassifyLayer_1,road,4,1.40638
2,Train,ClassifyLayer_1,road,5,0.48681
2,Train,ClassifyLayer_1,road,6,0.61475
2,Train,ClassifyLayer_1,road,7,0.51497
2,Train,ClassifyLayer_1,road,MEAN,0.79087
2,Train,TOTAL,ALL,SUM,19.01685
2,Val,AVG_ALL,building,0,0.73569
2,Val,AVG_ALL,building,1,0.54092
2,Val,AVG_ALL,building,2,0.63932
2,Val,AVG_ALL,building,3,0.67559
2,Val,AVG_ALL,building,4,0.15044
2,Val,AVG_ALL,building,5,0.00917
2,Val,AVG_ALL,building,6,0.6194
2,Val,AVG_ALL,building,7,0.73597
2,Val,AVG_ALL,building,MEAN,0.51331
2,Val,AVG_ALL,greenery,0,0.59157
2,Val,AVG_ALL,greenery,1,0.56555
2,Val,AVG_ALL,greenery,2,0.7737
2,Val,AVG_ALL,greenery,3,0.87268
2,Val,AVG_ALL,greenery,4,0.85076
2,Val,AVG_ALL,greenery,5,0.64262
2,Val,AVG_ALL,greenery,6,0.25495
2,Val,AVG_ALL,greenery,MEAN,0.65026
2,Val,AVG_ALL,infrastructure,0,0.20652
2,Val,AVG_ALL,infrastructure,1,1.98422
2,Val,AVG_ALL,infrastructure,2,0.58914
2,Val,AVG_ALL,infrastructure,3,0.08717
2,Val,AVG_ALL,infrastructure,4,0.33795
2,Val,AVG_ALL,infrastructure,5,0.51228
2,Val,AVG_ALL,infrastructure,6,0.3722
2,Val,AVG_ALL,infrastructure,7,0.88381
2,Val,AVG_ALL,infrastructure,MEAN,0.62166
2,Val,AVG_ALL,road,0,0.84989
2,Val,AVG_ALL,road,1,1.54052
2,Val,AVG_ALL,road,2,0.68961
2,Val,AVG_ALL,road,3,0.40866
2,Val,AVG_ALL,road,4,1.35425
2,Val,AVG_ALL,road,5,0.46081
2,Val,AVG_ALL,road,6,0.45715
2,Val,AVG_ALL,road,7,0.47853
2,Val,AVG_ALL,road,MEAN,0.77993
2,Val,ClassifyLayer_1,ALL,SUM,19.87104
2,Val,ClassifyLayer_1,building,0,0.73569
2,Val,ClassifyLayer_1,building,1,0.54092
2,Val,ClassifyLayer_1,building,2,0.63932
2,Val,ClassifyLayer_1,building,3,0.67559
2,Val,ClassifyLayer_1,building,4,0.15044
2,Val,ClassifyLayer_1,building,5,0.00917
2,Val,ClassifyLayer_1,building,6,0.6194
2,Val,ClassifyLayer_1,building,7,0.73597
2,Val,ClassifyLayer_1,building,MEAN,0.51331
2,Val,ClassifyLayer_1,greenery,0,0.59157
2,Val,ClassifyLayer_1,greenery,1,0.56555
2,Val,ClassifyLayer_1,greenery,2,0.7737
2,Val,ClassifyLayer_1,greenery,3,0.87268
2,Val,ClassifyLayer_1,greenery,4,0.85076
2,Val,ClassifyLayer_1,greenery,5,0.64262
2,Val,ClassifyLayer_1,greenery,6,0.25495
2,Val,ClassifyLayer_1,greenery,MEAN,0.65026
2,Val,ClassifyLayer_1,infrastructure,0,0.20652
2,Val,ClassifyLayer_1,infrastructure,1,1.98422
2,Val,ClassifyLayer_1,infrastructure,2,0.58914
2,Val,ClassifyLayer_1,infrastructure,3,0.08717
2,Val,ClassifyLayer_1,infrastructure,4,0.33795
2,Val,ClassifyLayer_1,infrastructure,5,0.51228
2,Val,ClassifyLayer_1,infrastructure,6,0.3722
2,Val,ClassifyLayer_1,infrastructure,7,0.88381
2,Val,ClassifyLayer_1,infrastructure,MEAN,0.62166
2,Val,ClassifyLayer_1,road,0,0.84989
2,Val,ClassifyLayer_1,road,1,1.54052
2,Val,ClassifyLayer_1,road,2,0.68961
2,Val,ClassifyLayer_1,road,3,0.40866
2,Val,ClassifyLayer_1,road,4,1.35425
2,Val,ClassifyLayer_1,road,5,0.46081
2,Val,ClassifyLayer_1,road,6,0.45715
2,Val,ClassifyLayer_1,road,7,0.47853
2,Val,ClassifyLayer_1,road,MEAN,0.77993
2,Val,TOTAL,ALL,SUM,19.87104
3,Train,AVG_ALL,building,0,0.6581
3,Train,AVG_ALL,building,1,0.43649
3,Train,AVG_ALL,building,2,0.57947
3,Train,AVG_ALL,building,3,0.70536
3,Train,AVG_ALL,building,4,0.08915
3,Train,AVG_ALL,building,5,0.09611
3,Train,AVG_ALL,building,6,0.58553
3,Train,AVG_ALL,building,7,0.59968
3,Train,AVG_ALL,building,MEAN,0.46874
3,Train,AVG_ALL,greenery,0,0.56177
3,Train,AVG_ALL,greenery,1,0.48231
3,Train,AVG_ALL,greenery,2,0.8516
3,Train,AVG_ALL,greenery,3,0.85493
3,Train,AVG_ALL,greenery,4,0.88351
3,Train,AVG_ALL,greenery,5,0.58444
3,Train,AVG_ALL,greenery,6,0.0005
3,Train,AVG_ALL,greenery,MEAN,0.60272
3,Train,AVG_ALL,infrastructure,0,0.22281
3,Train,AVG_ALL,infrastructure,1,1.761
3,Train,AVG_ALL,infrastructure,2,0.62617
3,Train,AVG_ALL,infrastructure,3,0.11565
3,Train,AVG_ALL,infrastructure,4,0.29667
3,Train,AVG_ALL,infrastructure,5,0.59424
3,Train,AVG_ALL,infrastructure,6,0.17414
3,Train,AVG_ALL,infrastructure,7,0.76032
3,Train,AVG_ALL,infrastructure,MEAN,0.56887
3,Train,AVG_ALL,road,0,0.73995
3,Train,AVG_ALL,road,1,1.56392
3,Train,AVG_ALL,road,2,0.65459
3,Train,AVG_ALL,road,3,0.43147
3,Train,AVG_ALL,road,4,1.41041
3,Train,AVG_ALL,road,5,0.4903
3,Train,AVG_ALL,road,6,0.60729
3,Train,AVG_ALL,road,7,0.51153
3,Train,AVG_ALL,road,MEAN,0.80118
3,Train,ClassifyLayer_1,ALL,SUM,18.9294
3,Train,ClassifyLayer_1,building,0,0.6581
3,Train,ClassifyLayer_1,building,1,0.43649
3,Train,ClassifyLayer_1,building,2,0.57947
3,Train,ClassifyLayer_1,building,3,0.70536
3,Train,ClassifyLayer_1,building,4,0.08915
3,Train,ClassifyLayer_1,building,5,0.09611
