Epoch,Split,Layer,Group,SubID,Accuracy,Precision,Recall,F1,AP
0,Val,AVG_ALL,building,MEAN,0.6579,0.0899125,0.25,0.132125,0.275
0,Val,AVG_ALL,greenery,0,0.8772,0.0,0.0,0.0,0.1345
0,Val,AVG_ALL,greenery,1,0.8947,0.0,0.0,0.0,0.0957
0,Val,AVG_ALL,greenery,2,0.807,0.0,0.0,0.0,0.1857
0,Val,AVG_ALL,greenery,3,0.7368,0.0,0.0,0.0,0.2632
0,Val,AVG_ALL,greenery,4,0.6667,0.6667,1.0,0.8,0.6667
0,Val,AVG_ALL,greenery,5,0.8596,0.0,0.0,0.0,0.1404
0,Val,AVG_ALL,greenery,6,0.9825,0.0,0.0,0.0,0.0175
0,Val,AVG_ALL,greenery,MEAN,0.8320714285714287,0.09524285714285714,0.14285714285714285,0.1142857142857143,0.21481428571428568
0,Val,AVG_ALL,infrastructure,0,0.9474,0.0,0.0,0.0,0.0526
0,Val,AVG_ALL,infrastructure,1,0.2632,0.2632,1.0,0.4167,0.2915
0,Val,AVG_ALL,infrastructure,2,0.7193,0.0,0.0,0.0,0.3706
0,Val,AVG_ALL,infrastructure,3,0.9825,0.0,0.0,0.0,0.0385
0,Val,AVG_ALL,infrastructure,4,0.8947,0.0,0.0,0.0,0.1053
0,Val,AVG_ALL,infrastructure,5,0.8421,0.0,0.0,0.0,0.1579
0,Val,AVG_ALL,infrastructure,6,0.8947,0.0,0.0,0.0,0.1053
0,Val,AVG_ALL,infrastructure,7,0.9649,0.0,0.0,0.0,0.0351
0,Val,AVG_ALL,infrastructure,MEAN,0.8136,0.0329,0.125,0.0520875,0.1446
0,Val,AVG_ALL,road,0,0.6316,0.0,0.0,0.0,0.3657
0,Val,AVG_ALL,road,1,0.1228,0.1228,1.0,0.2188,0.2094
0,Val,AVG_ALL,road,2,0.6316,0.0,0.0,0.0,0.4117
0,Val,AVG_ALL,road,3,0.8596,0.0,0.0,0.0,0.2614
0,Val,AVG_ALL,road,4,0.2632,0.2632,1.0,0.4167,0.2842
0,Val,AVG_ALL,road,5,0.8246,0.0,0.0,0.0,0.2507
0,Val,AVG_ALL,road,6,0.8421,0.0,0.0,0.0,0.2768
0,Val,AVG_ALL,road,7,0.9123,0.0,0.0,0.0,0.0877
0,Val,AVG_ALL,road,MEAN,0.635975,0.04825,0.25,0.0794375,0.26845
1,Train,ClassifyLayer_1,building,0,0.6593,0.0,0.0,0.0,0.3185
1,Train,ClassifyLayer_1,building,1,0.8451,0.0,0.0,0.0,0.1628
1,Train,ClassifyLayer_1,building,2,0.7257,0.0,0.0,0.0,0.2217
1,Train,ClassifyLayer_1,building,3,0.5265,0.4762,0.1905,0.2721,0.4547
1,Train,ClassifyLayer_1,building,4,0.9823,0.0,0.0,0.0,0.0135
1,Train,ClassifyLayer_1,building,5,0.9823,0.0,0.0,0.0,0.0128
1,Train,ClassifyLayer_1,building,6,0.7345,0.0,0.0,0.0,0.2353
1,Train,ClassifyLayer_1,building,7,0.7257,0.0,0.0,0.0,0.2591
1,Train,ClassifyLayer_1,building,MEAN,0.772675,0.059525,0.0238125,0.0340125,0.2098
1,Train,ClassifyLayer_1,greenery,0,0.8938,0.0,0.0,0.0,0.0885
1,Train,ClassifyLayer_1,greenery,1,0.9204,0.0,0.0,0.0,0.0878
1,Train,ClassifyLayer_1,greenery,2,0.7168,0.1765,0.0566,0.0857,0.2607
1,Train,ClassifyLayer_1,greenery,3,0.7389,0.0,0.0,0.0,0.2239
1,Train,ClassifyLayer_1,greenery,4,0.6327,0.6327,1.0,0.7751,0.5987
1,Train,ClassifyLayer_1,greenery,5,0.8938,0.0,0.0,0.0,0.1048
1,Train,ClassifyLayer_1,greenery,6,1.0,0.0,0.0,0.0,0.0
1,Train,ClassifyLayer_1,greenery,MEAN,0.8280571428571429,0.11560000000000001,0.15094285714285713,0.12297142857142858,0.19491428571428573
1,Train,ClassifyLayer_1,infrastructure,0,0.9425,0.0,0.0,0.0,0.0725
1,Train,ClassifyLayer_1,infrastructure,1,0.3009,0.1638,0.7436,0.2685,0.1514
1,Train,ClassifyLayer_1,infrastructure,2,0.708,0.0,0.0,0.0,0.3241
1,Train,ClassifyLayer_1,infrastructure,3,0.9779,0.0,0.0,0.0,0.0188
1,Train,ClassifyLayer_1,infrastructure,4,0.9159,0.0,0.0,0.0,0.0651
1,Train,ClassifyLayer_1,infrastructure,5,0.7257,0.0,0.0,0.0,0.2539
1,Train,ClassifyLayer_1,infrastructure,6,0.9602,0.0,0.0,0.0,0.0567
1,Train,ClassifyLayer_1,infrastructure,7,0.9735,0.0,0.0,0.0,0.024
1,Train,ClassifyLayer_1,infrastructure,MEAN,0.813075,0.020475,0.09295,0.0335625,0.1208125
1,Train,ClassifyLayer_1,road,0,0.7389,0.0,0.0,0.0,0.224
1,Train,ClassifyLayer_1,road,1,0.6726,0.0545,0.12,0.075,0.0972
1,Train,ClassifyLayer_1,road,2,0.6593,0.0,0.0,0.0,0.2937
1,Train,ClassifyLayer_1,road,3,0.8496,0.0,0.0,0.0,0.1448
1,Train,ClassifyLayer_1,road,4,0.3186,0.3186,1.0,0.4832,0.2844
1,Train,ClassifyLayer_1,road,5,0.8142,0.0,0.0,0.0,0.1767
1,Train,ClassifyLayer_1,road,6,0.7124,0.0,0.0,0.0,0.2758
1,Train,ClassifyLayer_1,road,7,0.9071,0.0,0.0,0.0,0.0873
1,Train,ClassifyLayer_1,road,MEAN,0.7090875,0.0466375,0.14,0.069775,0.1979875
1,Train,AVG_ALL,building,0,0.6593,0.0,0.0,0.0,0.3185
1,Train,AVG_ALL,building,1,0.8451,0.0,0.0,0.0,0.1628
1,Train,AVG_ALL,building,2,0.7257,0.0,0.0,0.0,0.2217
1,Train,AVG_ALL,building,3,0.5265,0.4762,0.1905,0.2721,0.4547
1,Train,AVG_ALL,building,4,0.9823,0.0,0.0,0.0,0.0135
1,Train,AVG_ALL,building,5,0.9823,0.0,0.0,0.0,0.0128
1,Train,AVG_ALL,building,6,0.7345,0.0,0.0,0.0,0.2353
1,Train,AVG_ALL,building,7,0.7257,0.0,0.0,0.0,0.2591
1,Train,AVG_ALL,building,MEAN,0.772675,0.059525,0.0238125,0.0340125,0.2098
1,Train,AVG_ALL,greenery,0,0.8938,0.0,0.0,0.0,0.0885
1,Train,AVG_ALL,greenery,1,0.9204,0.0,0.0,0.0,0.0878
1,Train,AVG_ALL,greenery,2,0.7168,0.1765,0.0566,0.0857,0.2607
1,Train,AVG_ALL,greenery,3,0.7389,0.0,0.0,0.0,0.2239
1,Train,AVG_ALL,greenery,4,0.6327,0.6327,1.0,0.7751,0.5987
1,Train,AVG_ALL,greenery,5,0.8938,0.0,0.0,0.0,0.1048
1,Train,AVG_ALL,greenery,6,1.0,0.0,0.0,0.0,0.0
1,Train,AVG_ALL,greenery,MEAN,0.8280571428571429,0.11560000000000001,0.15094285714285713,0.12297142857142858,0.19491428571428573
1,Train,AVG_ALL,infrastructure,0,0.9425,0.0,0.0,0.0,0.0725
1,Train,AVG_ALL,infrastructure,1,0.3009,0.1638,0.7436,0.2685,0.1514
1,Train,AVG_ALL,infrastructure,2,0.708,0.0,0.0,0.0,0.3241
1,Train,AVG_ALL,infrastructure,3,0.9779,0.0,0.0,0.0,0.0188
